id,recipient,height,claimed_coins,fund_community_pool_coins
84,evmos1sztuhlep9rn00edn6s56c3e8yn2pghpdxv65xf,274296,45105353515616630320aevmos,12614432075225699536aevmos
85,evmos1h6cxj9hrenfdp5mdqylcxwez05zhwzduprffqj,274315,176757330075397721401aevmos,49439653848154949319aevmos
86,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274334,143412119146761321268aevmos,40117897187410150604aevmos
87,evmos102g2gqykxgr8ump7nn93pdhqkp9zu9yw0tj6ux,274334,115018751720855010300aevmos,32175177966929308164aevmos
88,evmos103py6jm4xxzud6g7pnw4lkvqwcvcc5djdt6rut,274334,258321150208566638360aevmos,72262382057094407144aevmos
89,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274334,143412119146761321268aevmos,40117897187410150604aevmos
90,evmos1lh9xzrm0h7jdcqevh25h8fcpqahzxccx2s4lpu,274347,143409362527929289224aevmos,40120653806242182648aevmos
91,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274347,143409362527929289224aevmos,40120653806242182648aevmos
92,evmos1ckgeltrgr2kf2rxnzf96ylnfqqnnyryms4nd9c,274364,143405836852448090772aevmos,40124179481723381100aevmos
93,evmos13cvjhrjltkrct9h878qks2r5rkzlqg2wpy3k39,274364,405747326855559512852aevmos,113525913061216025836aevmos
94,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274377,143403130558422376564aevmos,40126885775749095308aevmos
95,evmos1sanu2yjwsrt99z7n63sx0u9k32uw9h9nj6xjza,274377,149035634201227134427aevmos,41702965945172166949aevmos
96,evmos1ptdh6496crk0swccgh5mz28x6j84ypf3lpjq2w,274379,143402713431540457576aevmos,40127302902631014296aevmos
97,evmos1hhmzah5f6krf9ksg2dqsm7ccejwqzmmymrn9lx,274400,262327348738577445088aevmos,73415874844026621728aevmos
98,evmos1ylddetyxz00g6f63n0le9glqlflaz6r3rqx5au,274400,108925743706278281922aevmos,30484350204758648894aevmos
99,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274400,143398106699376905720aevmos,40131909634794566152aevmos
100,evmos1zafvyu693qt8zm5gv6q3n6sa5ff2j2ngkuu45v,274420,73074075000946327719aevmos,20453514826547735129aevmos
101,evmos176u3q6xr654f26hxs239pkym52kq95rvctm5wq,274420,341488320816488131458aevmos,95582960616641083262aevmos
102,evmos1sj7fk3av39rme8dpurahdq94ptqe5u6kdkxqlu,274420,143393903374014560020aevmos,40136112960156911852aevmos
